"PAR_anomaly","VPD_anomaly","Pre_anomaly","MCWD_anomaly","WTD","HAND","Drought_Length","EVI_anomaly","SegGeo_number","year","HAND_CLASS","Drought_Condition"
-1.18762,2.33593,0.148814,-2.07698,9.77856,9.77856,4,-2.35574,12,"2010",10,"Severe Drought"
0.151169,1.55165,-1.55267,-1.0115,17.4758,17.4758,2,-2.35558,12,"2010",18,"Medium Drought"
2.13867,1.65203,-2.17812,-1.97929,12.9839,12.9839,4.38442,-2.35443,12,"2015",13,"Medium Drought"
-1.0182,1.66382,-0.0457563,-1.58407,16.159,16.159,2.42228,-2.34516,12,"2010",17,"Medium Drought"
-1.62866,1.01494,-0.560451,-1.77953,5.01928,5.01928,2,-2.33554,12,"2005",6,"Medium Drought"
2.07592,0.799482,-2.35376,-2.43029,33.2179,33.2179,5.51818,-2.33283,12,"2015",31,"Severe Drought"
2.08281,1.20957,-2.36406,-2.36088,10.6223,10.6223,3.84615,-2.33039,12,"2015",11,"Severe Drought"
-0.165464,1.68642,-1.50232,-1.63263,23.9811,23.9811,2,-2.32797,12,"2010",24,"Medium Drought"
-0.805926,1.1622,-0.424136,-1.65668,12.1956,12.1956,2.68924,-2.32371,12,"2010",13,"Medium Drought"
1.50133,0.480444,-1.89063,-2.7233,37.6546,37.6546,6,-2.32318,12,"2015",31,"Severe Drought"
2.16091,1.21457,-2.30476,-2.12788,19.1532,19.1532,4.74125,-2.32191,12,"2015",20,"Severe Drought"
-1.09376,1.48172,-1.2749,-2.07124,10.6799,10.6799,3.46765,-2.32134,12,"2010",11,"Severe Drought"
-0.637482,0.0300218,-1.05682,-1.04791,8.66991,8.66991,2,-2.31705,12,"2015",9,"Medium Drought"
-0.865295,1.60843,-0.939219,-1.27941,16.504,16.504,2.63257,-2.3152,12,"2010",17,"Medium Drought"
-0.781322,1.61716,-0.661989,-1.19437,22.7774,22.7774,2.45724,-2.3133,12,"2010",23,"Medium Drought"
-0.896281,1.61268,-0.966297,-1.17937,15.091,15.091,2.48374,-2.30179,12,"2010",16,"Medium Drought"
0.020328,1.49991,-1.29595,-1.24804,8.36408,8.36408,1.01742,-2.29838,12,"2010",9,"Medium Drought"
-1.05689,1.7584,-1.49128,-2.08541,21.1459,21.1459,3,-2.29817,12,"2010",22,"Severe Drought"
-0.359247,2.30554,-1.17691,-2.48356,8.44141,8.44141,4,-2.29616,12,"2010",9,"Severe Drought"
-0.710045,2.03837,-1.07224,-1.64193,13.6315,13.6315,2.87176,-2.29571,12,"2010",14,"Medium Drought"
-1.62179,1.26027,-1.30662,-1.84295,9.4564,9.4564,3,-2.29262,12,"2005",10,"Medium Drought"
2.28339,1.34134,-2.06604,-1.8318,9.83159,9.83159,4.96748,-2.29029,12,"2015",10,"Medium Drought"
-0.0825331,1.70343,-1.9323,-1.55514,1.8172,1.8172,5.75,-2.28898,12,"2010",2,"Medium Drought"
-1.22532,1.76523,-0.534331,-2.31671,24.532,24.532,3.30608,-2.28574,12,"2010",25,"Severe Drought"
-0.874218,1.81821,-1.035,-1.64961,12.6908,12.6908,3.80544,-2.28427,12,"2010",13,"Medium Drought"
1.9383,0.309336,-1.00311,-2.31974,0.59228,0.59228,3,-2.28344,12,"2015",1,"Severe Drought"
-0.823433,1.68722,-1.226,-1.91494,16.6313,16.6313,2.99079,-2.28066,12,"2010",17,"Medium Drought"
-0.302006,1.57506,-1.37689,-1.04338,19.5976,19.5976,1,-2.28059,12,"2010",20,"Medium Drought"
2.85881,1.614,-2.04348,-2.068,7.43789,7.43789,5,-2.28057,12,"2015",8,"Severe Drought"
-1.26558,1.72188,-0.7843,-1.69558,15.6585,15.6585,3,-2.27964,12,"2010",16,"Medium Drought"
-1.03628,2.04819,-0.744758,-1.4868,5.77602,5.77602,2.41956,-2.27616,12,"2010",6,"Medium Drought"
-1.07282,1.71725,-1.0972,-1.80296,20.13,20.13,3,-2.27419,12,"2010",21,"Medium Drought"
-1.66569,1.02839,-0.606616,-1.77612,3.02837,3.02837,2,-2.27393,12,"2005",4,"Medium Drought"
1.88995,1.82602,-2.25987,-2.33797,35.2288,35.2288,6,-2.271,12,"2015",31,"Severe Drought"
