"WTD","HAND","SoilFertility","SoilSand_content","TreeHeight","MCWD_STD","DrySeasonLength","Long","Lat","SegGeo_number","HAND_CLASS","EVI_anomaly_fit_mean","EVI_anomaly_fit_standardize"
10.125,10.125,-0.508267,0.51,23.3647,110.394,7.94706,-60.4964,14.543,9,11,-0.56631828121525,-0.236101311933448
3.99687,3.99687,-0.795168,0.29,29.7894,37.0428,1.94085,-61.5919,22.1618,12,3,-0.778166327449783,-0.893375137524284
9.65015,9.65015,-0.347828,0.45,28.2885,48.4642,3,-74.1921,15.1308,21,9,-0.58570449710183,-0.296248443360828
20.171,20.171,0.00224862,0.37,31.7882,78.2316,5.41955,-53.5903,22.8262,12,21,-0.809208304773058,-0.989685108523899
21.3557,21.3557,-0.265696,0.37,26.0517,106.52,6,-54.9093,19.8596,12,21,-0.79581014966051,-0.948116367045232
4.46604,4.46604,0.0112708,0.83,35.2796,21.1497,2,-75.3061,23.8403,9,5,3.41802700060936,12.1256169687271
15.0959,15.0959,-0.164077,0.35,34.4854,92.783,7,-52.2572,21.4915,12,15,-0.662474381444616,-0.534432540259635
6.96131,6.96131,-0.984976,0.54,31.4965,26.6295,0,-71.2584,17.1574,21,7,-0.663964345630774,-0.539055261488535
11.954,11.954,-0.701561,0.39,32.6629,53.7898,3.0727,-60.5963,24.1566,12,11,-0.360081001722868,0.403764705623941
49.292,49.292,0.00237894,0.3,28.6063,95.9195,4.99595,-50.915,23.1589,12,49,-1.01159402531222,-1.61760138695143
29.3132,29.3132,-0.276657,0.34,36.7307,61.3245,4,-55.5856,21.8299,12,29,-0.282658792038792,0.64397268888951
13.6338,13.6338,0.229151,0.4,31.6113,59.4395,5,-68.9255,28.1175,12,13,-0.538680761676667,-0.150353916477861
21.8357,21.8357,-0.413528,0.36,32.575,102.154,5.64535,-55.5908,17.8296,9,21,-0.395078024631778,0.295183920761927
10.6392,10.6392,-0.0896826,0.37,17.8137,96.7951,5.63975,-49.5165,24.1717,12,11,-0.871882901641541,-1.18413756056826
8.64618,8.64618,-0.0522842,0.37,25.5841,60.2764,5.81477,-62.9335,31.5167,12,9,-0.692084468387943,-0.626299968197922
14.2541,14.2541,-0.128333,0.36,34.9015,61.2997,4,-55.2594,22.4951,12,15,-0.645435310626817,-0.481567595503291
6.90032,6.90032,-0.849038,0.35,33.3899,62.387,4,-60.9257,23.16,12,7,-0.577248728732814,-0.270013812817857
19.1135,19.1135,-0.0121551,0.37,30.0453,69.9101,5.95469,-49.9652,22.4535,12,19,-0.873532725877771,-1.18925625911928
5.00104,5.00104,-0.768351,0.46,34.1989,28.0846,0.756215,-73.9229,17.1684,21,5,-0.390192760054559,0.310340806061392
14.0512,14.0512,-0.141365,0.39,34.246,90.3063,6.58867,-51.9271,21.8277,12,15,-0.608548145249673,-0.367122507462235
5.7984,5.7984,-0.854311,0.31,32.5152,59.3141,4,-60.5869,22.8322,12,5,-0.77949278437194,-0.897490565687084
15.3711,15.3711,0.00614772,0.38,26.8892,69.3297,6,-49.5941,22.88,12,15,-0.890640470172534,-1.24233426828535
5.98707,5.98707,-0.216327,0.32,36.4806,52.2155,2.26551,-71.5804,24.529,12,5,-0.716610473956531,-0.702393667399102
15.2001,15.2001,-0.00479506,0.3,33.0459,67.4345,4,-54.5929,23.1585,12,15,-1.03994571728685,-1.7055645538409
21.5036,21.5036,-0.153521,0.36,33.5495,80.2513,4.10316,-54.5992,21.8206,12,21,-0.643695599810936,-0.476170017363204
7.11414,7.11414,-0.570338,0.33,37.992,36.8046,2,-73.2575,23.4958,21,7,-0.405698606951755,0.262232798976619
5.13839,5.13839,0.0615289,0.41,17.7426,70.7043,5,-64.0056,34.511,12,5,-0.300836920362724,0.587573736159379
12.5528,12.5528,-0.078998,0.35,33.8907,95.6786,7,-52.5693,21.8269,12,13,-0.75146277918331,-0.810525455226419
13.9045,13.9045,-0.520739,0.41,33.0895,75.0322,3.62993,-56.9253,21.1608,12,13,-0.375805316302216,0.354978886816247
13.1926,13.1926,0.0149887,0.34,30.3326,100.622,5.56818,-51.6045,22.8125,12,13,-0.93887061120435,-1.39197175547592
8.74723,8.74723,-0.0124659,0.44,26.4764,50.4722,6.62893,-62.5825,31.8349,12,9,-0.574274354775175,-0.260785603331749
12.1565,12.1565,-1.00588,0.5,32.7338,22.6454,0,-70.5911,16.4956,21,13,-0.675554179485071,-0.575013555986765
29.4302,29.4302,-0.238176,0.32,33.4103,80.7806,5.95442,-54.9351,21.5051,12,29,-0.581139130734727,-0.282084065304646
7.37727,7.37727,-0.540373,0.36,34.0726,64.3525,4,-66.2572,24.159,12,7,-0.355181959388787,0.418964337406658
7.03875,7.03875,-0.172882,0.34,37.9203,55.6846,2.68228,-71.5886,24.8267,12,7,-0.618090147171689,-0.396727255858806
11.9591,11.9591,-0.838417,0.5,29.4364,32.2467,2,-70.9222,15.1658,21,11,-0.662779296144099,-0.535378560081722
33.8526,33.8526,-0.349979,0.32,31.4918,93.4992,6.22453,-55.2594,17.8285,9,33,-0.507226233407608,-0.0527639764475858
6.91631,6.91631,-0.629172,0.46,20.6554,76.274,4.88512,-47.9257,18.1656,12,7,-0.38115027270782,0.338395774501685
20.8798,20.8798,-0.143496,0.41,23.8171,59.4421,5,-50.2699,25.1623,12,21,-0.984909875567125,-1.53481188996367
20.8361,20.8361,-0.223209,0.36,35.1278,95.9909,7,-51.923,21.4905,12,21,-0.486246009961543,0.0123286782700303
18.2747,18.2747,-0.146489,0.37,31.3425,101.98,7,-52.5927,21.1833,12,19,-0.750931539757762,-0.808877246636627
6.15833,6.15833,-0.664115,0.33,30.1063,60.8993,3.50779,-65.2592,24.1596,12,7,-0.515987047476472,-0.0799450332507097
19.3916,19.3916,-0.0402476,0.36,34.504,94.1887,5.80175,-53.2549,22.1576,12,19,-0.68768404600611,-0.612647340739083
11.1454,11.1454,-0.0239791,0.35,33.1392,112.242,6,-51.928,22.4936,12,11,-0.784760370350148,-0.913833630676658
9.10729,9.10729,-0.976826,0.48,30.9838,28.5123,0.716994,-70.9248,15.8267,21,9,-0.637662786939049,-0.457452780806823
15.2797,15.2797,0.0428552,0.39,20.1241,66.2749,6.07786,-48.645,23.2203,12,15,-0.990164277754606,-1.55111405129272
6.37449,6.37449,-0.738067,0.52,28.9534,18.0197,0,-68.5904,15.4976,21,7,-0.453052647401629,0.115313476958355
22.9367,22.9367,-0.42515,0.41,28.5805,88.3751,5.08046,-56.1713,19.618,12,23,-0.59659023333695,-0.330022224270325
