"PAR_anomaly","VPD_anomaly","Pre_anomaly","MCWD_anomaly","WTD","HAND","Drought_Length","EVI_anomaly","SoilFertility","SoilSand_content","SoilClay_content","Tree_Height","WoodDensity","DrySeasonLength","MCWD_STD","SegGeo_number","year","HAND_CLASS","Drought_Condition","Long","Lat"
2.82188,1.98042,-2.36803,-2.49335,4.68972,4.68972,5.38818,-2.55736,-0.863701,0.298442,0.448305,28.976,0.682379,3.03256,60.9592,12,"2015",5,"Severe Drought",-60.2713,22.1372
-1.00342,1.41716,-1.11691,-2.82577,14.2553,14.2553,3,-2.55555,-0.167949,0.477845,0.350221,30.978,0.652969,5,52.8705,12,"2010",15,"Severe Drought",-58.4659,27.8907
-0.173786,0.934462,-1.31135,-1.10727,7.82957,7.82957,2,-2.55305,-0.0242672,0.431818,0.352299,25.4759,0.627787,6,55.9518,12,"2015",8,"Medium Drought",-62.5838,31.6125
-0.121053,1.71871,-1.50769,-1.17436,41.1407,41.1407,2,-2.55001,-0.241506,0.277536,0.512464,36.7992,0.679577,4,48.3581,12,"2010",41,"Medium Drought",-56.3378,22.8977
1.19376,0.0362096,-1.54327,-2.43142,7.89292,7.89292,3.95122,-2.5486,-0.526182,0.48122,0.341951,18.5122,0.685361,3.73171,63.9413,12,"2015",8,"Severe Drought",-47.5981,19.1371
-1.07698,1.72651,-0.132902,-1.22071,16.0664,16.0664,2,-2.54396,-0.167093,0.605481,0.290758,25.3732,0.646113,5,62.1761,12,"2010",17,"Medium Drought",-60.0457,29.19
2.89262,1.58863,-2.18328,-2.80843,6.23612,6.23612,6,-2.53811,-0.839108,0.253799,0.441788,23.1651,0.681769,4.13417,65.2039,12,"2015",7,"Severe Drought",-60.2651,20.8541
-0.375664,1.74408,-1.23795,-1.12396,20.1267,20.1267,2,-2.53603,-0.346562,0.377607,0.427911,32.1321,0.671203,4,53.9448,12,"2010",21,"Medium Drought",-57.8652,24.4427
-1.05774,2.31218,-1.47103,-1.35343,12.1053,12.1053,3,-2.53568,0.521253,0.284971,0.399648,37.7789,0.611004,5,79.973,12,"2010",13,"Medium Drought",-71.169,26.4388
-0.723639,1.71913,-1.31166,-1.89399,13.6732,13.6732,2.67695,-2.53551,-0.25083,0.414833,0.395732,29.912,0.663944,4.17006,45.0428,12,"2010",14,"Medium Drought",-56.9242,25.4929
-1.09086,1.71584,-1.24715,-1.87232,14.9106,14.9106,3,-2.53545,-0.296608,0.387697,0.396425,32.1361,0.664874,4.17801,40.9468,12,"2010",15,"Medium Drought",-57.5921,25.7742
