"WTD","HAND","SoilFertility","SoilSand_content","SoilClay_content","Tree_Height","WoodDensity","DrySeasonLength","MCWD_STD","SegGeo_number","year","Long","Lat"
13.1926,13.1926,0.0149887,0.34,0.43,30.3326,0.663161,5.56818,100.622,12,"2015",-51.6045,22.8125
8.74723,8.74723,-0.0124659,0.44,0.35,26.4764,0.628023,6.62893,50.4722,12,"2015",-62.5825,31.8349
12.1565,12.1565,-1.00588,0.5,0.29,32.7338,0.662215,0,22.6454,21,"2015",-70.5911,16.4956
29.4302,29.4302,-0.238176,0.32,0.51,33.4103,0.680137,5.95442,80.7806,12,"2015",-54.9351,21.5051
7.37727,7.37727,-0.540373,0.36,0.37,34.0726,0.66313,4,64.3525,12,"2015",-66.2572,24.159
7.03875,7.03875,-0.172882,0.34,0.37,37.9203,0.628553,2.68228,55.6846,12,"2015",-71.5886,24.8267
11.9591,11.9591,-0.838417,0.5,0.35,29.4364,0.664337,2,32.2467,21,"2015",-70.9222,15.1658
33.8526,33.8526,-0.349979,0.32,0.48,31.4918,0.695802,6.22453,93.4992,9,"2015",-55.2594,17.8285
6.91631,6.91631,-0.629172,0.46,0.34,20.6554,0.687976,4.88512,76.274,12,"2015",-47.9257,18.1656
20.8798,20.8798,-0.143496,0.41,0.39,23.8171,0.656659,5,59.4421,12,"2015",-50.2699,25.1623
20.8361,20.8361,-0.223209,0.36,0.48,35.1278,0.66943,7,95.9909,12,"2015",-51.923,21.4905
18.2747,18.2747,-0.146489,0.37,0.5,31.3425,0.676984,7,101.98,12,"2015",-52.5927,21.1833
6.15833,6.15833,-0.664115,0.33,0.37,30.1063,0.666839,3.50779,60.8993,12,"2015",-65.2592,24.1596
19.3916,19.3916,-0.0402476,0.36,0.45,34.504,0.672033,5.80175,94.1887,12,"2015",-53.2549,22.1576
11.1454,11.1454,-0.0239791,0.35,0.45,33.1392,0.663578,6,112.242,12,"2015",-51.928,22.4936
9.10729,9.10729,-0.976826,0.48,0.32,30.9838,0.66304,0.716994,28.5123,21,"2015",-70.9248,15.8267
15.2797,15.2797,0.0428552,0.39,0.42,20.1241,0.665079,6.07786,66.2749,12,"2015",-48.645,23.2203
6.37449,6.37449,-0.738067,0.52,0.3,28.9534,0.696083,0,18.0197,21,"2015",-68.5904,15.4976
22.9367,22.9367,-0.42515,0.41,0.48,28.5805,0.692934,5.08046,88.3751,12,"2015",-56.1713,19.618
